chr	start	end	motif	sampleID	gene	location	region	gene_type	gene_distance	id	gerp	TAD	eSTR	opReg	tissue_simple	promoter	UTR_3	UTR_5	loeuf	pLi	RAD21	SMC3	per_g	per_c	per_a	per_t	gc_content	eSh0	eSh1	eSh2	eSh3	eSh4	eSh5	eTr0	eTr1	eTr2	eTr3	eTr4	eTr5	eH	eW	eS6	eS	J	eX0	eX1R	eX2	eX3	eX4	eX5	tissue_simple_No_expression	tissue_simple_Nervous_System	tissue_simple_Other	region_intergenic	region_intron	region_exon	location_First	location_Middle	location_Last	SVM	XGB	ensembleScore	ensembleMax	ensembleBinary
chr3	25939411	25939412	AC	1	intergenic	intergenic	intergenic	intergenic	24226	chr3_25939411_25939412_AC_1	-1.731	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00154732683305236	1.6254842e-05	0.00156358167524639	0.00154732683305236	0
chr3	48926004	48926005	AAAT	1	SLC25A20	Middle	intron	protein_coding 	0	chr3_48926004_48926005_AAAT_1	0.113	0	0	0	Other	0	0	0	1.17	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	0	0	1	0	1	0	0	1	0	0.0256139258523857	0.0016198494	0.0272337752064144	0.0256139258523857	0
chr3	54283690	54283691	AC	1	CACNA2D3	Middle	intron	protein_coding 	0	chr3_54283690_54283691_AC_1	-1.155	0	0	0	Nervous_System	0	0	0	0.34	0.58	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	1	0	0	1	0	0	1	0	0.00410559072270341	2.6912212e-05	0.00413250293468233	0.00410559072270341	0
chr3	70862183	70862184	AATG	1	intergenic	intergenic	intergenic	intergenic	141682	chr3_70862183_70862184_AATG_1	-0.099	0	0	0	No_expression	0	0	0	9	0	0	0	25	0	50	25	25	3.71	3.7	3.7	3.7	3.7	3.7	41	0	12.32	0.12	7.21	1.06	135.42	11480	3127.68	76024	0.3	22.67	20.37	17.51	15.25	13.02	11.17	1	0	0	1	0	0	0	0	0	0.00376731075427837	0.0002279646	0.00399527535389519	0.00376731075427837	0
chr4	30718516	30718517	AGC	1	intergenic	intergenic	intergenic	intergenic	3514	chr4_30718516_30718517_AGC_1	3.385	0	0	1	No_expression	0	0	0	9	0	0	0	33.33	33.33	33.33	0	66.67	3.43	3.43	3.43	3.43	3.43	3.43	31	0	8.19	0.29	5.75	0.36	93.84	4960	2794.9	37004	0.39	16.02	15.45	14.48	13.48	12.48	11.48	1	0	0	1	0	0	0	0	0	0.0093999752265356	0.13161322	0.141013199971332	0.131613224744797	0
chr5	122709908	122709909	AAC	1	CEP120	Middle	intron	protein_coding 	0	chr5_122709908_122709909_AAC_1	-0.578	0	0	0	Other	0	0	0	0.8	0	0	0	0	33.33	66.67	0	33.33	3.43	3.42	3.42	3.42	3.42	3.42	31	0	9.94	1.5	6.08	2.14	93.84	4960	1928.59	30658	0.4	17.72	15.39	12.65	10.58	8.75	7.23	0	0	1	0	1	0	0	1	0	0.0122668355780554	6.124336e-05	0.0123280789358326	0.0122668355780554	0
chr5	50250530	50250531	AATT	1	intergenic	intergenic	intergenic	intergenic	108175	chr5_50250530_50250531_AATT_1	0.364	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	50	50	0	3.71	3.7	3.71	3.7	3.71	3.7	41	0	14.28	0	10.3	0	135.42	11480	2298.97	64895	0.33	24.48	20.38	15.34	12.63	9.46	7.75	1	0	0	1	0	0	0	0	0	0.00614526926037636	0.00094067404	0.00708594330317122	0.00614526926037636	0
chr5	54363612	54363613	ATCC	1	intergenic	intergenic	intergenic	intergenic	26840	chr5_54363612_54363613_ATCC_1	-1.429	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	25	25	50	3.71	3.7	3.7	3.7	3.7	3.7	41	0	12.32	0.33	7.22	1.15	135.42	11480	3129.86	76056	0.3	22.78	20.34	17.57	15.34	13.13	11.25	1	0	0	1	0	0	0	0	0	0.00172030129296407	7.5160715e-05	0.00179546200787816	0.00172030129296407	0
chr7	141507238	141507239	AAT	1	intergenic	intergenic	intergenic	intergenic	2137	chr7_141507238_141507239_AAT_1	0	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	66.67	33.33	0	3.43	3.42	3.42	3.42	3.42	3.42	31	0	9.94	1.5	6.08	2.14	93.84	4960	1928.59	30658	0.4	17.72	15.39	12.65	10.58	8.75	7.23	1	0	0	1	0	0	0	0	0	0.0057611729372343	1.1357909e-05	0.00577253084622273	0.0057611729372343	0
chr7	67886878	67886879	AAAT	1	intergenic	intergenic	intergenic	intergenic	979310	chr7_67886878_67886879_AAAT_1	-0.353	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	1	0	0	1	0	0	0	0	0	0.0206377488382564	8.65835e-06	0.020646407188709	0.0206377488382564	0
chr7	91009609	91009610	AC	1	intergenic	intergenic	intergenic	intergenic	111478	chr7_91009609_91009610_AC_1	-1.454	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00164528289315816	1.6254842e-05	0.00166153773535219	0.00164528289315816	0
chr8	91222537	91222538	AAAT	1	intergenic	intergenic	intergenic	intergenic	11179	chr8_91222537_91222538_AAAT_1	0.149	0	0	0	No_expression	0	0	0	9	0	0	0	0	0	75	25	0	3.71	3.69	3.69	3.68	3.68	3.68	41	0	14.5	1.5	8.32	2.36	135.42	11480	2287.04	64898	0.33	24.79	20.25	16.53	13.07	10.42	8.36	1	0	0	1	0	0	0	0	0	0.00575914503147386	0.00016953098	0.00592867600803755	0.00575914503147386	0
chr8	95238522	95238523	AC	1	intergenic	intergenic	intergenic	intergenic	8992	chr8_95238522_95238523_AC_1	-1.573	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00156742041698804	1.6254842e-05	0.00158367525918207	0.00156742041698804	0
chr9	21636637	21636638	AC	1	intergenic	intergenic	intergenic	intergenic	76941	chr9_21636637_21636638_AC_1	0	0	0	0	No_expression	0	0	0	9	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	1	0	0	1	0	0	0	0	0	0.00265306515266829	8.94791e-06	0.00266201306258708	0.00265306515266829	0
chr9	3441309	3441310	AG	1	RFX3	Middle	intron	protein_coding 	0	chr9_3441309_3441310_AG_1	0.998	0	0	1	Other	0	0	0	0.1	1	1	1	50	0	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	0	1	0	1	0	0	1	0	0.0724660407450036	0.2776451	0.350111151828988	0.277645111083984	0
chr9	4121621	4121622	AC	1	GLIS3	Middle	intron	protein_coding 	0	chr9_4121621_4121622_AC_1	-2.432	0	0	0	Other	0	0	0	0.74	0	0	0	0	50	50	0	50	3.04	3.03	3.04	3.03	3.03	3.03	21	0	5.71	2.16	3.36	2.34	55.55	1540	1598.72	11098	0.56	11.07	10.43	9.68	8.93	8.18	7.43	0	0	1	0	1	0	0	1	0	0.00458099869312549	3.0117051e-05	0.00461111574433575	0.00458099869312549	0
